transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description,country
30,1070,2004,8987.41,2023-01-01 00:00:29,0,MasterCard,City-15,Online Shopping,55,Purchase at Merchant-2004,Moldova
31,1054,2034,4464.86,2023-01-01 00:00:30,1,MasterCard,City-44,Gas Station,24,Purchase at Merchant-2034,Sweden
32,1029,2036,9771.9,2023-01-01 00:00:31,1,American Express,City-27,Online Shopping,30,Purchase at Merchant-2036,Monaco
33,1058,2085,6748.27,2023-01-01 00:00:32,1,Discover,City-37,Retail,35,Purchase at Merchant-2085,Greece
34,1076,2071,3190.8,2023-01-01 00:00:33,0,Visa,City-50,Gas Station,32,Purchase at Merchant-2071,Germany
35,1036,2023,7716.15,2023-01-01 00:00:34,1,MasterCard,City-18,Online Shopping,58,Purchase at Merchant-2023,Ukraine
36,1001,2083,9145.62,2023-01-01 00:00:35,1,MasterCard,City-31,Retail,66,Purchase at Merchant-2083,Austria
37,1098,2006,6983.78,2023-01-01 00:00:36,0,MasterCard,City-17,Restaurant,51,Purchase at Merchant-2006,San Marino
38,1021,2093,6059.01,2023-01-01 00:00:37,1,Visa,City-39,Travel,61,Purchase at Merchant-2093,Bulgaria
39,1090,2063,9593.37,2023-01-01 00:00:38,0,American Express,City-14,Groceries,66,Purchase at Merchant-2063,Kosovo
40,1055,2003,5696.32,2023-01-01 00:00:39,0,Discover,City-41,Online Shopping,22,Purchase at Merchant-2003,Cyprus
41,1044,2008,7274.22,2023-01-01 00:00:40,0,American Express,City-20,Online Shopping,27,Purchase at Merchant-2008,Slovakia
42,1036,2011,3197.45,2023-01-01 00:00:41,1,Visa,City-50,Restaurant,66,Purchase at Merchant-2011,Iceland
43,1020,2041,3587.54,2023-01-01 00:00:42,1,Discover,City-31,Gas Station,39,Purchase at Merchant-2041,Belarus
44,1028,2078,8111.54,2023-01-01 00:00:43,0,American Express,City-25,Online Shopping,53,Purchase at Merchant-2078,Luxembourg
45,1098,2039,3710.73,2023-01-01 00:00:44,0,Discover,City-45,Groceries,21,Purchase at Merchant-2039,France
46,1044,2009,3009.47,2023-01-01 00:00:45,0,Visa,City-34,Restaurant,29,Purchase at Merchant-2009,Cyprus
47,1014,2053,4895.98,2023-01-01 00:00:46,1,MasterCard,City-35,Groceries,38,Purchase at Merchant-2053,Malta
48,1012,2047,5463.71,2023-01-01 00:00:47,1,MasterCard,City-38,Online Shopping,43,Purchase at Merchant-2047,Andorra
49,1049,2086,7452.24,2023-01-01 00:00:48,0,MasterCard,City-14,Retail,28,Purchase at Merchant-2086,Italy
50,1013,2085,2288.84,2023-01-01 00:00:49,1,Visa,City-46,Online Shopping,23,Purchase at Merchant-2085,Monaco
51,1046,2012,1713.82,2023-01-01 00:00:50,0,Visa,City-33,Groceries,56,Purchase at Merchant-2012,Bulgaria
52,1045,2051,6911.74,2023-01-01 00:00:51,1,Discover,City-27,Retail,46,Purchase at Merchant-2051,Ukraine
53,1078,2093,4103.23,2023-01-01 00:00:52,0,Visa,City-6,Travel,35,Purchase at Merchant-2093,Croatia
54,1034,2018,8800.95,2023-01-01 00:00:53,0,American Express,City-26,Retail,48,Purchase at Merchant-2018,Romania
55,1006,2031,3250.43,2023-01-01 00:00:54,0,Visa,City-41,Restaurant,45,Purchase at Merchant-2031,France
56,1094,2015,7964.55,2023-01-01 00:00:55,1,Discover,City-48,Groceries,21,Purchase at Merchant-2015,Hungary
57,1059,2074,9452.68,2023-01-01 00:00:56,1,American Express,City-6,Groceries,37,Purchase at Merchant-2074,Russia
58,1069,2095,4038.38,2023-01-01 00:00:57,0,Visa,City-45,Groceries,64,Purchase at Merchant-2095,Slovenia
59,1016,2065,8688.14,2023-01-01 00:00:58,1,MasterCard,City-34,Retail,37,Purchase at Merchant-2065,Belarus
60,1049,2016,4649.28,2023-01-01 00:00:59,0,American Express,City-43,Retail,21,Purchase at Merchant-2016,Andorra
61,1011,2067,1535.32,2023-01-01 00:01:00,1,Visa,City-31,Groceries,37,Purchase at Merchant-2067,Bosnia and Herzegovina
62,1071,2086,7381.21,2023-01-01 00:01:01,0,MasterCard,City-30,Groceries,27,Purchase at Merchant-2086,Sweden
63,1038,2075,3861.79,2023-01-01 00:01:02,0,Visa,City-25,Restaurant,35,Purchase at Merchant-2075,Belarus
64,1081,2100,9496.84,2023-01-01 00:01:03,0,Visa,City-20,Online Shopping,24,Purchase at Merchant-2100,Montenegro
65,1080,2068,8734.88,2023-01-01 00:01:04,1,Discover,City-47,Gas Station,36,Purchase at Merchant-2068,Iceland
66,1047,2033,7884.77,2023-01-01 00:01:05,1,Discover,City-21,Online Shopping,27,Purchase at Merchant-2033,Malta
67,1074,2064,3820.76,2023-01-01 00:01:06,0,Discover,City-34,Restaurant,62,Purchase at Merchant-2064,Ukraine
68,1025,2012,8703.8,2023-01-01 00:01:07,0,American Express,City-44,Online Shopping,61,Purchase at Merchant-2012,Portugal
69,1091,2031,1502.35,2023-01-01 00:01:08,0,Discover,City-4,Restaurant,44,Purchase at Merchant-2031,Czech Republic
70,1009,2077,3663.44,2023-01-01 00:01:09,0,American Express,City-35,Retail,38,Purchase at Merchant-2077,Russia
71,1006,2016,4349.47,2023-01-01 00:01:10,1,American Express,City-19,Groceries,42,Purchase at Merchant-2016,France
72,1085,2099,8175.87,2023-01-01 00:01:11,0,American Express,City-13,Groceries,27,Purchase at Merchant-2099,North Macedonia
73,1030,2041,9054.57,2023-01-01 00:01:12,0,Visa,City-6,Retail,45,Purchase at Merchant-2041,Germany
74,1099,2043,1518.88,2023-01-01 00:01:13,0,American Express,City-40,Retail,22,Purchase at Merchant-2043,Croatia
75,1038,2075,9460.97,2023-01-01 00:01:14,0,Visa,City-27,Restaurant,43,Purchase at Merchant-2075,France
76,1011,2095,2177.77,2023-01-01 00:01:15,0,American Express,City-41,Retail,21,Purchase at Merchant-2095,Liechtenstein
77,1030,2050,173.73,2023-01-01 00:01:16,0,American Express,City-21,Gas Station,34,Purchase at Merchant-2050,Slovenia
78,1013,2096,4728.16,2023-01-01 00:01:17,0,Visa,City-11,Online Shopping,43,Purchase at Merchant-2096,Kosovo
79,1049,2096,2716.19,2023-01-01 00:01:18,0,American Express,City-47,Gas Station,37,Purchase at Merchant-2096,Greece
80,1036,2031,1985.59,2023-01-01 00:01:19,1,Discover,City-5,Groceries,33,Purchase at Merchant-2031,United Kingdom
81,1059,2055,4978.25,2023-01-01 00:01:20,0,MasterCard,City-45,Gas Station,19,Purchase at Merchant-2055,Iceland
82,1082,2028,1591.58,2023-01-01 00:01:21,1,MasterCard,City-29,Restaurant,64,Purchase at Merchant-2028,Lithuania
83,1047,2019,8299.48,2023-01-01 00:01:22,1,Discover,City-37,Gas Station,19,Purchase at Merchant-2019,Malta
84,1021,2014,8539.61,2023-01-01 00:01:23,1,Discover,City-48,Travel,46,Purchase at Merchant-2014,Luxembourg
85,1048,2023,2783.92,2023-01-01 00:01:24,0,American Express,City-3,Restaurant,28,Purchase at Merchant-2023,United Kingdom
86,1046,2028,1907.56,2023-01-01 00:01:25,0,Discover,City-41,Groceries,37,Purchase at Merchant-2028,Spain
87,1027,2036,6072.18,2023-01-01 00:01:26,1,MasterCard,City-2,Groceries,47,Purchase at Merchant-2036,Montenegro
88,1086,2057,4996.38,2023-01-01 00:01:27,1,Discover,City-21,Online Shopping,43,Purchase at Merchant-2057,Germany
89,1035,2053,4356.72,2023-01-01 00:01:28,0,MasterCard,City-13,Travel,42,Purchase at Merchant-2053,United Kingdom
90,1090,2033,8517.45,2023-01-01 00:01:29,0,Discover,City-43,Online Shopping,62,Purchase at Merchant-2033,Albania
91,1088,2076,4878.55,2023-01-01 00:01:30,1,American Express,City-5,Groceries,18,Purchase at Merchant-2076,Luxembourg
92,1083,2008,6661.23,2023-01-01 00:01:31,0,Visa,City-9,Retail,40,Purchase at Merchant-2008,Bulgaria
93,1010,2063,3540.16,2023-01-01 00:01:32,0,Visa,City-27,Restaurant,67,Purchase at Merchant-2063,Cyprus
94,1078,2069,1069.05,2023-01-01 00:01:33,1,American Express,City-2,Restaurant,63,Purchase at Merchant-2069,Lithuania
95,1082,2048,9529.97,2023-01-01 00:01:34,1,MasterCard,City-24,Groceries,31,Purchase at Merchant-2048,Albania
96,1022,2090,7063.18,2023-01-01 00:01:35,0,Visa,City-21,Retail,22,Purchase at Merchant-2090,Ukraine
97,1069,2015,6082.1,2023-01-01 00:01:36,0,American Express,City-45,Gas Station,31,Purchase at Merchant-2015,Croatia
98,1094,2041,1423.36,2023-01-01 00:01:37,1,MasterCard,City-32,Gas Station,57,Purchase at Merchant-2041,Lithuania
99,1032,2070,5192.44,2023-01-01 00:01:38,0,American Express,City-20,Retail,63,Purchase at Merchant-2070,Denmark
100,1021,2055,4947.37,2023-01-01 00:01:39,0,American Express,City-4,Groceries,48,Purchase at Merchant-2055,Hungary
101,1060,2061,2171.87,2023-01-01 00:01:40,0,Visa,City-9,Travel,66,Purchase at Merchant-2061,Croatia
102,1049,2088,4910.16,2023-01-01 00:01:41,1,American Express,City-41,Travel,51,Purchase at Merchant-2088,Romania
103,1035,2032,9569.0,2023-01-01 00:01:42,0,Discover,City-35,Restaurant,31,Purchase at Merchant-2032,Romania
104,1082,2036,6318.77,2023-01-01 00:01:43,1,MasterCard,City-49,Travel,47,Purchase at Merchant-2036,Poland
105,1089,2019,3392.42,2023-01-01 00:01:44,0,Visa,City-20,Gas Station,36,Purchase at Merchant-2019,Belgium
106,1072,2047,3113.01,2023-01-01 00:01:45,1,Discover,City-22,Retail,48,Purchase at Merchant-2047,Sweden
107,1029,2061,6188.62,2023-01-01 00:01:46,1,Discover,City-40,Groceries,42,Purchase at Merchant-2061,Slovakia
108,1088,2092,6120.15,2023-01-01 00:01:47,0,American Express,City-24,Retail,42,Purchase at Merchant-2092,Spain
109,1042,2048,5995.17,2023-01-01 00:01:48,0,MasterCard,City-35,Restaurant,68,Purchase at Merchant-2048,Monaco
110,1099,2040,5301.07,2023-01-01 00:01:49,0,American Express,City-49,Online Shopping,64,Purchase at Merchant-2040,Bulgaria
111,1100,2003,3417.56,2023-01-01 00:01:50,0,MasterCard,City-29,Travel,56,Purchase at Merchant-2003,Cyprus
112,1008,2083,3739.81,2023-01-01 00:01:51,1,American Express,City-28,Restaurant,68,Purchase at Merchant-2083,Croatia
113,1030,2078,6888.26,2023-01-01 00:01:52,1,Visa,City-37,Groceries,32,Purchase at Merchant-2078,Estonia
114,1005,2005,1290.05,2023-01-01 00:01:53,0,Discover,City-21,Travel,49,Purchase at Merchant-2005,Portugal
115,1041,2095,5657.62,2023-01-01 00:01:54,1,Discover,City-24,Online Shopping,48,Purchase at Merchant-2095,Poland
116,1052,2085,4740.5,2023-01-01 00:01:55,1,Discover,City-37,Online Shopping,64,Purchase at Merchant-2085,Liechtenstein
117,1035,2007,186.92,2023-01-01 00:01:56,0,American Express,City-7,Online Shopping,48,Purchase at Merchant-2007,Lithuania
118,1009,2089,3706.39,2023-01-01 00:01:57,1,Visa,City-41,Retail,68,Purchase at Merchant-2089,San Marino
119,1028,2086,2468.64,2023-01-01 00:01:58,0,Discover,City-11,Groceries,29,Purchase at Merchant-2086,Romania
120,1073,2031,9446.32,2023-01-01 00:01:59,0,Discover,City-27,Online Shopping,37,Purchase at Merchant-2031,Ukraine
121,1092,2033,6885.93,2023-01-01 00:02:00,0,American Express,City-34,Restaurant,67,Purchase at Merchant-2033,Slovenia
122,1041,2071,9102.36,2023-01-01 00:02:01,0,American Express,City-6,Online Shopping,65,Purchase at Merchant-2071,Latvia
123,1028,2050,9026.52,2023-01-01 00:02:02,0,Discover,City-15,Travel,29,Purchase at Merchant-2050,Moldova
124,1084,2040,6342.38,2023-01-01 00:02:03,0,American Express,City-3,Groceries,34,Purchase at Merchant-2040,Romania
125,1064,2082,9019.38,2023-01-01 00:02:04,1,Visa,City-32,Restaurant,28,Purchase at Merchant-2082,Albania
126,1051,2090,4767.11,2023-01-01 00:02:05,0,Visa,City-34,Retail,48,Purchase at Merchant-2090,Romania
127,1083,2047,2812.51,2023-01-01 00:02:06,1,Visa,City-16,Travel,50,Purchase at Merchant-2047,San Marino
128,1059,2088,3414.17,2023-01-01 00:02:07,1,Discover,City-29,Restaurant,37,Purchase at Merchant-2088,France
129,1019,2016,7940.24,2023-01-01 00:02:08,0,Discover,City-14,Restaurant,68,Purchase at Merchant-2016,Austria
130,1034,2069,6986.31,2023-01-01 00:02:09,1,Discover,City-7,Groceries,62,Purchase at Merchant-2069,Albania
131,1018,2031,9019.54,2023-01-01 00:02:10,0,MasterCard,City-34,Groceries,22,Purchase at Merchant-2031,Belgium
132,1032,2057,9655.08,2023-01-01 00:02:11,1,Discover,City-45,Gas Station,29,Purchase at Merchant-2057,Malta
133,1096,2050,7818.14,2023-01-01 00:02:12,0,American Express,City-45,Travel,52,Purchase at Merchant-2050,France
134,1072,2002,5727.03,2023-01-01 00:02:13,0,Visa,City-16,Groceries,60,Purchase at Merchant-2002,Slovakia
135,1069,2051,9114.69,2023-01-01 00:02:14,1,Discover,City-23,Groceries,49,Purchase at Merchant-2051,Moldova
136,1034,2033,7083.97,2023-01-01 00:02:15,1,MasterCard,City-38,Groceries,58,Purchase at Merchant-2033,Cyprus
137,1096,2039,6097.78,2023-01-01 00:02:16,1,Discover,City-20,Restaurant,44,Purchase at Merchant-2039,Germany
138,1075,2012,8135.09,2023-01-01 00:02:17,1,American Express,City-7,Travel,67,Purchase at Merchant-2012,Germany
139,1055,2097,2498.5,2023-01-01 00:02:18,1,MasterCard,City-11,Groceries,68,Purchase at Merchant-2097,Malta
140,1075,2031,5637.35,2023-01-01 00:02:19,1,Discover,City-48,Restaurant,24,Purchase at Merchant-2031,Sweden
141,1052,2039,8906.66,2023-01-01 00:02:20,0,Discover,City-16,Gas Station,26,Purchase at Merchant-2039,Finland
142,1047,2027,3141.47,2023-01-01 00:02:21,0,Visa,City-49,Travel,66,Purchase at Merchant-2027,Norway
143,1029,2021,8808.47,2023-01-01 00:02:22,0,Visa,City-48,Restaurant,65,Purchase at Merchant-2021,Slovakia
144,1018,2057,3847.59,2023-01-01 00:02:23,0,MasterCard,City-17,Travel,50,Purchase at Merchant-2057,Norway
145,1066,2081,1492.07,2023-01-01 00:02:24,0,American Express,City-21,Groceries,27,Purchase at Merchant-2081,Belarus
146,1064,2041,3223.33,2023-01-01 00:02:25,0,MasterCard,City-38,Travel,45,Purchase at Merchant-2041,Netherlands
147,1012,2099,5297.06,2023-01-01 00:02:26,1,Visa,City-46,Gas Station,24,Purchase at Merchant-2099,San Marino
148,1097,2083,4632.27,2023-01-01 00:02:27,0,Discover,City-12,Online Shopping,28,Purchase at Merchant-2083,Liechtenstein
149,1007,2053,9005.3,2023-01-01 00:02:28,1,American Express,City-13,Gas Station,35,Purchase at Merchant-2053,Slovakia
150,1015,2005,9471.97,2023-01-01 00:02:29,1,American Express,City-12,Gas Station,63,Purchase at Merchant-2005,United Kingdom
151,1020,2036,7280.99,2023-01-01 00:02:30,0,MasterCard,City-24,Groceries,55,Purchase at Merchant-2036,Germany
152,1081,2011,678.59,2023-01-01 00:02:31,0,American Express,City-45,Travel,57,Purchase at Merchant-2011,Switzerland
153,1021,2100,3901.87,2023-01-01 00:02:32,1,MasterCard,City-34,Restaurant,53,Purchase at Merchant-2100,Montenegro
154,1088,2063,1939.89,2023-01-01 00:02:33,0,Discover,City-4,Gas Station,47,Purchase at Merchant-2063,Russia
155,1055,2061,7701.76,2023-01-01 00:02:34,0,Visa,City-48,Online Shopping,46,Purchase at Merchant-2061,Finland
156,1077,2095,7121.96,2023-01-01 00:02:35,0,American Express,City-12,Restaurant,56,Purchase at Merchant-2095,Norway
157,1009,2053,3644.19,2023-01-01 00:02:36,0,Discover,City-19,Online Shopping,54,Purchase at Merchant-2053,Bulgaria
158,1050,2043,7779.82,2023-01-01 00:02:37,1,Visa,City-23,Online Shopping,56,Purchase at Merchant-2043,Latvia
159,1049,2092,4742.73,2023-01-01 00:02:38,1,American Express,City-21,Restaurant,36,Purchase at Merchant-2092,Monaco
160,1077,2055,2241.1,2023-01-01 00:02:39,0,Visa,City-32,Gas Station,60,Purchase at Merchant-2055,Andorra
161,1060,2013,40.5,2023-01-01 00:02:40,1,Discover,City-5,Groceries,50,Purchase at Merchant-2013,Sweden
162,1068,2021,3568.13,2023-01-01 00:02:41,0,MasterCard,City-7,Travel,22,Purchase at Merchant-2021,United Kingdom
163,1033,2090,6210.32,2023-01-01 00:02:42,1,Discover,City-50,Groceries,55,Purchase at Merchant-2090,Bosnia and Herzegovina
164,1071,2034,5623.16,2023-01-01 00:02:43,1,American Express,City-25,Restaurant,37,Purchase at Merchant-2034,Monaco
165,1002,2065,7839.01,2023-01-01 00:02:44,1,Visa,City-12,Groceries,62,Purchase at Merchant-2065,Monaco
166,1088,2009,9567.11,2023-01-01 00:02:45,1,Discover,City-45,Retail,20,Purchase at Merchant-2009,Ukraine
167,1093,2046,4852.13,2023-01-01 00:02:46,1,American Express,City-30,Travel,44,Purchase at Merchant-2046,Ukraine
168,1015,2054,3148.54,2023-01-01 00:02:47,1,Discover,City-18,Gas Station,63,Purchase at Merchant-2054,Italy
169,1088,2078,8833.3,2023-01-01 00:02:48,1,MasterCard,City-50,Online Shopping,53,Purchase at Merchant-2078,Netherlands
170,1069,2094,2008.58,2023-01-01 00:02:49,0,Discover,City-14,Retail,25,Purchase at Merchant-2094,Denmark
171,1097,2071,8109.18,2023-01-01 00:02:50,1,MasterCard,City-22,Travel,29,Purchase at Merchant-2071,Monaco
172,1035,2095,1890.07,2023-01-01 00:02:51,0,Visa,City-7,Online Shopping,47,Purchase at Merchant-2095,Luxembourg
173,1099,2042,9237.85,2023-01-01 00:02:52,0,MasterCard,City-19,Restaurant,40,Purchase at Merchant-2042,Slovakia
174,1083,2059,6054.76,2023-01-01 00:02:53,1,MasterCard,City-39,Retail,43,Purchase at Merchant-2059,Poland
175,1044,2089,2963.24,2023-01-01 00:02:54,1,Discover,City-9,Online Shopping,23,Purchase at Merchant-2089,Albania
176,1015,2004,615.02,2023-01-01 00:02:55,0,MasterCard,City-33,Restaurant,64,Purchase at Merchant-2004,Moldova
177,1038,2098,8848.87,2023-01-01 00:02:56,1,American Express,City-27,Retail,18,Purchase at Merchant-2098,Finland
178,1056,2007,5239.79,2023-01-01 00:02:57,1,Discover,City-13,Groceries,36,Purchase at Merchant-2007,Spain
179,1021,2083,5046.25,2023-01-01 00:02:58,0,Visa,City-9,Groceries,20,Purchase at Merchant-2083,Austria
180,1059,2083,2489.78,2023-01-01 00:02:59,1,MasterCard,City-32,Travel,53,Purchase at Merchant-2083,Slovakia
181,1001,2024,3766.33,2023-01-01 00:03:00,0,American Express,City-45,Travel,45,Purchase at Merchant-2024,Bosnia and Herzegovina
182,1093,2081,7009.45,2023-01-01 00:03:01,1,Discover,City-4,Travel,48,Purchase at Merchant-2081,Croatia
183,1093,2057,8528.48,2023-01-01 00:03:02,0,Discover,City-10,Retail,30,Purchase at Merchant-2057,Moldova
184,1034,2083,2988.79,2023-01-01 00:03:03,0,MasterCard,City-14,Restaurant,27,Purchase at Merchant-2083,Cyprus
185,1065,2018,2050.36,2023-01-01 00:03:04,1,Visa,City-7,Restaurant,38,Purchase at Merchant-2018,San Marino
186,1098,2001,2968.07,2023-01-01 00:03:05,1,MasterCard,City-30,Retail,68,Purchase at Merchant-2001,Poland
187,1023,2052,297.92,2023-01-01 00:03:06,1,MasterCard,City-17,Groceries,51,Purchase at Merchant-2052,Sweden
188,1065,2026,6443.44,2023-01-01 00:03:07,1,Visa,City-41,Restaurant,43,Purchase at Merchant-2026,Ukraine
189,1014,2081,4220.02,2023-01-01 00:03:08,0,Visa,City-3,Restaurant,50,Purchase at Merchant-2081,Lithuania
190,1081,2040,3692.63,2023-01-01 00:03:09,0,American Express,City-9,Online Shopping,35,Purchase at Merchant-2040,Germany
191,1039,2041,7760.21,2023-01-01 00:03:10,1,Discover,City-34,Gas Station,51,Purchase at Merchant-2041,Norway
192,1082,2074,9929.87,2023-01-01 00:03:11,1,American Express,City-48,Groceries,22,Purchase at Merchant-2074,Norway
193,1065,2011,4472.38,2023-01-01 00:03:12,1,Visa,City-5,Retail,19,Purchase at Merchant-2011,Lithuania
194,1078,2015,3826.37,2023-01-01 00:03:13,1,American Express,City-3,Online Shopping,42,Purchase at Merchant-2015,Spain
195,1026,2021,1578.21,2023-01-01 00:03:14,0,MasterCard,City-25,Restaurant,28,Purchase at Merchant-2021,Estonia
196,1020,2032,4446.95,2023-01-01 00:03:15,0,MasterCard,City-1,Retail,35,Purchase at Merchant-2032,Slovakia
197,1048,2067,3147.73,2023-01-01 00:03:16,1,American Express,City-50,Retail,47,Purchase at Merchant-2067,Andorra
198,1098,2092,9369.66,2023-01-01 00:03:17,1,MasterCard,City-41,Online Shopping,22,Purchase at Merchant-2092,Austria
199,1021,2099,4564.87,2023-01-01 00:03:18,0,American Express,City-32,Groceries,42,Purchase at Merchant-2099,San Marino
200,1070,2084,1985.83,2023-01-01 00:03:19,1,Discover,City-25,Groceries,40,Purchase at Merchant-2084,Hungary
201,1100,2098,6069.36,2023-01-01 00:03:20,1,Discover,City-15,Online Shopping,43,Purchase at Merchant-2098,Andorra
202,1068,2017,2854.78,2023-01-01 00:03:21,0,Visa,City-19,Travel,57,Purchase at Merchant-2017,Andorra
203,1001,2077,5868.94,2023-01-01 00:03:22,0,Visa,City-18,Retail,30,Purchase at Merchant-2077,Monaco
204,1077,2088,3234.81,2023-01-01 00:03:23,1,Visa,City-14,Groceries,58,Purchase at Merchant-2088,Liechtenstein
205,1042,2053,179.39,2023-01-01 00:03:24,0,American Express,City-14,Travel,66,Purchase at Merchant-2053,San Marino
206,1063,2041,533.71,2023-01-01 00:03:25,1,Discover,City-18,Restaurant,62,Purchase at Merchant-2041,Norway
207,1003,2058,3272.11,2023-01-01 00:03:26,0,MasterCard,City-44,Gas Station,68,Purchase at Merchant-2058,Poland
208,1015,2062,4776.24,2023-01-01 00:03:27,0,Discover,City-27,Retail,68,Purchase at Merchant-2062,Albania
209,1047,2095,1426.11,2023-01-01 00:03:28,1,Visa,City-1,Restaurant,52,Purchase at Merchant-2095,Ireland
210,1040,2018,8319.73,2023-01-01 00:03:29,0,MasterCard,City-12,Retail,65,Purchase at Merchant-2018,Andorra
211,1031,2034,3756.54,2023-01-01 00:03:30,0,Visa,City-42,Retail,44,Purchase at Merchant-2034,Ukraine
212,1008,2023,264.4,2023-01-01 00:03:31,1,MasterCard,City-48,Travel,38,Purchase at Merchant-2023,Malta
213,1031,2088,4348.25,2023-01-01 00:03:32,0,American Express,City-25,Restaurant,22,Purchase at Merchant-2088,Norway
214,1073,2076,3245.6,2023-01-01 00:03:33,1,Visa,City-14,Groceries,29,Purchase at Merchant-2076,Bosnia and Herzegovina
215,1011,2042,1788.2,2023-01-01 00:03:34,1,MasterCard,City-16,Online Shopping,19,Purchase at Merchant-2042,Norway
216,1011,2037,6134.69,2023-01-01 00:03:35,0,Discover,City-47,Gas Station,39,Purchase at Merchant-2037,Belarus
217,1094,2026,7607.71,2023-01-01 00:03:36,1,American Express,City-24,Travel,34,Purchase at Merchant-2026,Denmark
218,1063,2011,6439.77,2023-01-01 00:03:37,1,MasterCard,City-26,Online Shopping,25,Purchase at Merchant-2011,Hungary
219,1009,2054,3246.9,2023-01-01 00:03:38,1,MasterCard,City-18,Groceries,40,Purchase at Merchant-2054,Serbia
220,1098,2048,7567.35,2023-01-01 00:03:39,1,American Express,City-5,Online Shopping,68,Purchase at Merchant-2048,Lithuania
221,1069,2024,403.42,2023-01-01 00:03:40,1,Discover,City-46,Restaurant,26,Purchase at Merchant-2024,Belgium
222,1099,2051,5121.97,2023-01-01 00:03:41,1,American Express,City-26,Groceries,50,Purchase at Merchant-2051,Portugal
223,1017,2049,7230.54,2023-01-01 00:03:42,0,Discover,City-41,Online Shopping,19,Purchase at Merchant-2049,Bosnia and Herzegovina
